"Round","Category","Tier","Variable","Unit","Definition"
"1","Land",3,"Agricultural Production","Million t DM/yr","Total production of food, non-food and feed products (crops and livestock) and bioenergy crops (1st & 2nd generation)"
"1","Land",2,"Agricultural Production|Energy","Million t DM/yr","Total bioenergy-related agricultural production (including waste and residues)"
"1","Land",3,"Agricultural Production|Energy|Crops","Million t DM/yr","Production for modern primary energy crops (1st and 2nd generation)"
"1","Land",3,"Agricultural Production|Energy|Residues","Million t DM/yr","Production of agricultural residues for modern bioenergy production"
"1","Land",2,"Agricultural Production|Non-Energy","Million t DM/yr","Total production for food, non-food and feed products (crops and livestock)"
"1","Land",3,"Agricultural Production|Non-Energy|Crops","Million t DM/yr","Total production for food, non-food and feed products (crops)"
"1","Land",3,"Agricultural Production|Non-Energy|Livestock","Million t DM/yr","Total production for livestock products"
"1","Energy",1,"Capacity Additions|Electricity|Biomass","GW/yr","Capacity additions of all biomass power plants (yearly average additions between previos and current model time step)"
"1","Energy",1,"Capacity Additions|Electricity|Biomass|w/ CCS","GW/yr","Capacity additions of biomass power plants with CCS (yearly average additions between previos and current model time step)"
"1","Energy",1,"Capacity Additions|Electricity|Biomass|w/o CCS","GW/yr","Capacity additions of biomass power plants without CCS (yearly average additions between previos and current model time step)"
"1","Energy",1,"Capacity Additions|Electricity|Coal","GW/yr","Capacity additions of all coal power plants (yearly average additions between previos and current model time step)"
"1","Energy",1,"Capacity Additions|Electricity|Coal|w/ CCS","GW/yr","Capacity additions of coal power plants with CCS (yearly average additions between previos and current model time step)"
"1","Energy",1,"Capacity Additions|Electricity|Coal|w/o CCS","GW/yr","Capacity additions of coal power plants without CCS (yearly average additions between previos and current model time step)"
"1","Energy",1,"Capacity Additions|Electricity|Gas","GW/yr","Capacity additions of all gas power plants (yearly average additions between previos and current model time step)"
"1","Energy",1,"Capacity Additions|Electricity|Gas|w/ CCS","GW/yr","Capacity additions of gas power plants with CCS (yearly average additions between previos and current model time step)"
"1","Energy",1,"Capacity Additions|Electricity|Gas|w/o CCS","GW/yr","Capacity additions of gas power plants without CCS (yearly average additions between previos and current model time step)"
"1","Energy",1,"Capacity Additions|Electricity|Geothermal","GW/yr","Capacity additions of geothermal power plants (yearly average additions between previos and current model time step)"
"1","Energy",1,"Capacity Additions|Electricity|Hydro","GW/yr","Capacity additions of hydropower plants (yearly average additions between previos and current model time step)"
"1","Energy",1,"Capacity Additions|Electricity|Nuclear","GW/yr","Capacity additions of nuclear power plants (yearly average additions between previos and current model time step)"
"1","Energy",1,"Capacity Additions|Electricity|Oil","GW/yr","Capacity additions of all oil power plants (yearly average additions between previos and current model time step)"
"1","Energy",1,"Capacity Additions|Electricity|Oil|w/ CCS","GW/yr","Capacity additions of oil power plants with CCS (yearly average additions between previos and current model time step)"
"1","Energy",1,"Capacity Additions|Electricity|Oil|w/o CCS","GW/yr","Capacity additions of oil power plants without CCS (yearly average additions between previos and current model time step)"
"1","Energy",1,"Capacity Additions|Electricity|Solar","GW/yr","Capacity additions of solar power plants (yearly average additions between previos and current model time step)"
"1","Energy",1,"Capacity Additions|Electricity|Solar|CSP","GW/yr","Capacity additions of concentrated solar power plants (yearly average additions between previos and current model time step)"
"1","Energy",1,"Capacity Additions|Electricity|Solar|PV","GW/yr","Capacity additions of solar PV (yearly average additions between previos and current model time step)"
"1","Energy",1,"Capacity Additions|Electricity|Storage Capacity","GWh/yr","Capacity additions of electricity storage capacity (yearly average additions between previos and current model time step)"
"1","Energy",1,"Capacity Additions|Electricity|Transmissions Grid","GWkm/yr","Capacity additions of electricity storage (yearly average additions between previos and current model time step)"
"1","Energy",1,"Capacity Additions|Electricity|Wind","GW/yr","Capacity additions of wind power plants (onshore and offshore) (yearly average additions between previos and current model time step)"
"1","Energy",1,"Capacity Additions|Electricity|Wind|Offshore","GW/yr","Capacity additions of wind power plants (ooffshore) (yearly average additions between previos and current model time step)"
"1","Energy",1,"Capacity Additions|Electricity|Wind|Onshore","GW/yr","Capacity additions of wind power plants (onshore) (yearly average additions between previos and current model time step)"
"1","Energy",1,"Capacity|Electricity","GW","total installed electricity generation capacity"
"1","Energy",1,"Capacity|Electricity|Biomass","GW","total installed electricity generation capacity of biomass power plants"
"1","Energy",1,"Capacity|Electricity|Biomass|w/ CCS","GW","Total installed (available) capacity of biomass power plants with CCS, including plants held in an operating reserve."
"1","Energy",1,"Capacity|Electricity|Biomass|w/o CCS","GW","Total installed (available) capacity of biomass power plants without CCS, including plants held in an operating reserve."
"1","Energy",1,"Capacity|Electricity|Coal","GW","total installed electricity generation capacity of coal power plants"
"1","Energy",1,"Capacity|Electricity|Coal|w/ CCS","GW","Total installed (available) capacity of coal power plants with CCS, including plants held in an operating reserve."
"1","Energy",1,"Capacity|Electricity|Coal|w/o CCS","GW","Total installed (available) capacity of coal power plants without CCS, including plants held in an operating reserve."
"1","Energy",1,"Capacity|Electricity|Gas","GW","total installed electricity generation capacity of gas power plants"
"1","Energy",1,"Capacity|Electricity|Gas|CC","GW","total installed electricity generation capacity of natural gas combined cycle power plants"
"1","Energy",1,"Capacity|Electricity|Gas|CC|w/ CCS","GW","Total installed (available) capacity of natural gas combined cycle power plants with CCS, including plants held in an operating reserve."
"1","Energy",1,"Capacity|Electricity|Gas|CC|w/o CCS","GW","Total installed (available) capacity of natural gas combined cycle power plants power plants without CCS, including plants held in an operating reserve."
"1","Energy",1,"Capacity|Electricity|Gas|CT","GW","total installed electricity generation capacity of simple cycle natural gas combustion turbine power plants"
"1","Energy",1,"Capacity|Electricity|Gas|CT|w/ CCS","GW","Total installed (available) capacity of simple cycle natural gas combustion turbine power plants with CCS, including plants held in an operating reserve."
"1","Energy",1,"Capacity|Electricity|Gas|CT|w/o CCS","GW","Total installed (available) capacity of simple cycle natural gas combustion turbine power plants without CCS, including plants held in an operating reserve."
"1","Energy",1,"Capacity|Electricity|Gas|ST","GW","Total installed electricity generation capacity of natural gas steam turbine power plants"
"1","Energy",1,"Capacity|Electricity|Gas|ST|w/ CCS","GW","Total installed (available) capacity of natural gas steam turbine power plants with CCS, including plants held in an operating reserve."
"1","Energy",1,"Capacity|Electricity|Gas|ST|w/o CCS","GW","Total installed (available) capacity of natural gas steam turbine power plants without CCS, including plants held in an operating reserve."
"1","Energy",1,"Capacity|Electricity|Gas|w/ CCS","GW","Total installed (available) capacity of gas power plants with CCS, including plants held in an operating reserve."
"1","Energy",1,"Capacity|Electricity|Gas|w/o CCS","GW","Total installed (available) capacity of gas power plants without CCS, including plants held in an operating reserve."
"1","Energy",1,"Capacity|Electricity|Geothermal","GW","total installed electricity generation capacity of geothermal power plants"
"1","Energy",1,"Capacity|Electricity|Hydro","GW","total installed electricity generation capacity of hydro power plants"
"1","Energy",1,"Capacity|Electricity|Net Peak Demand|Day-Hour","Day-Hour","The day of year and hour of day when the electricity system reaches peak demand. The day-hour should be expressed as ddd-hh. That is, up to a three digit day of year (1 to 365), a hyphen, and a one- or two-digit hour (0 to 23)."
"1","Energy",1,"Capacity|Electricity|Net Peak Demand|Level","GW","peak (maximum) electricity load"
"1","Energy",1,"Capacity|Electricity|Nuclear","GW","total installed electricity generation capacity of nuclear power plants"
"1","Energy",1,"Capacity|Electricity|Ocean","GW","total installed electricity generation capacity of ocean power plants"
"1","Energy",1,"Capacity|Electricity|Oil","GW","total installed electricity generation capacity of oil power plants"
"1","Energy",1,"Capacity|Electricity|Oil|w/ CCS","GW","Total installed (available) capacity of oil power plants with CCS, including plants held in an operating reserve. The installed (available) capacity of CCS oil power plants by plant type for which capital costs are reported should be reported by adding variables Capacity|Electricity|Oil|w/ CCS|1, ..., Capacity|Electricity|Oil|w/ CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet)."
"1","Energy",1,"Capacity|Electricity|Oil|w/o CCS","GW","Total installed (available) capacity of oil power plants without CCS, including plants held in an operating reserve. The installed (available) capacity of oil power plants by plant type for which capital costs are reported should be reported by adding variables Capacity|Electricity|Oil|w/o CCS|1, ..., Capacity|Electricity|Oil|w/o CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet)."
"1","Energy",1,"Capacity|Electricity|Other","GW","total installed electricity generation capacity of other power plants"
