"Year","Scenario","Absolute Level (Mt CO2)","% Reductions from 2005","% Reductions from No IRA","Reductions from No IRA (Mt CO2)"
2005,"Baseline",6696.26373,NA,NA,NA
2025,"No IRA Min",5736.994,14.325,NA,NA
2025,"No IRA Median",6061.112,9.485,NA,NA
2025,"No IRA Max",6153.096,8.112,NA,NA
2025,"IRA Min",5483.581,18.11,4.417,253.412
2025,"IRA Median",5796.182,13.442,4.371,264.929
2025,"IRA Max",6070.531,9.345,1.342,82.565
2030,"No IRA Min",5447.628,18.647,NA,NA
2030,"No IRA Median",5606.708,16.271,NA,NA
2030,"No IRA Max",5818.639,13.106,NA,NA
2030,"IRA Min",4834.053,27.81,NA,NA
2030,"IRA Median",4877.668,27.158,NA,NA
2030,"IRA Max",4918.582,26.547,NA,NA
2035,"No IRA Min",5009.742,25.186,NA,NA
2035,"No IRA Median",5368.05,19.835,NA,NA
2035,"No IRA Max",5681.955,15.147,NA,NA
2035,"IRA Min",3980.222,40.561,20.55,1029.521
2035,"IRA Median",4506.138,32.707,16.056,861.912
2035,"IRA Max",4672.378,30.224,17.768,1009.577
