"Year","Scenario","Absolute Level (TWh)","% Reductions from 2005","% Reductions from No IRA","Reductions from No IRA (TWh)"
2005,"Baseline",1992.054,NA,NA,NA
2021,"No IRA Min",953.942,52.113,NA,NA
2021,"No IRA Median",953.942,52.113,NA,NA
2021,"No IRA Max",953.942,52.113,NA,NA
2021,"IRA Min",953.942,52.113,0,0
2021,"IRA Median",953.942,52.113,0,0
2021,"IRA Max",953.942,52.113,0,0
2030,"No IRA Min",361.759,81.84,NA,NA
2030,"No IRA Median",600.002,69.88,NA,NA
2030,"No IRA Max",873.106,56.171,NA,NA
2030,"IRA Min",72.058,96.383,80.081,289.701
2030,"IRA Median",219.444,88.984,63.426,380.558
2030,"IRA Max",562.289,71.773,35.599,310.817
2035,"No IRA Min",333.6,83.253,NA,NA
2035,"No IRA Median",478.299,75.99,NA,NA
2035,"No IRA Max",793.547,60.164,NA,NA
2035,"IRA Min",0.004,100,99.999,333.596
2035,"IRA Median",143.311,92.806,70.037,334.987
2035,"IRA Max",499.951,74.903,36.998,293.597
