"Year","Scenario","Absolute Level (TWh)","% Reductions from 2005","% Reductions from No IRA","Reductions from No IRA (TWh)"
2005,"Baseline",3878.455,NA,NA,NA
2021,"No IRA Min",4164.77,-7.382,NA,NA
2021,"No IRA Median",4164.77,-7.382,NA,NA
2021,"No IRA Max",4164.77,-7.382,NA,NA
2021,"IRA Min",4164.774,-7.382,0,-0.004
2021,"IRA Median",4164.774,-7.382,0,-0.004
2021,"IRA Max",4164.774,-7.382,0,-0.004
2030,"No IRA Min",4055.657,-4.569,NA,NA
2030,"No IRA Median",4400.6,-13.463,NA,NA
2030,"No IRA Max",5767.699,-48.711,NA,NA
2030,"IRA Min",4173.535,-7.608,-2.907,-117.878
2030,"IRA Median",4482.047,-15.563,-1.851,-81.447
2030,"IRA Max",6061.48,-56.286,-5.094,-293.781
2035,"No IRA Min",4170.365,-7.526,NA,NA
2035,"No IRA Median",4555.356,-17.453,NA,NA
2035,"No IRA Max",6478.829,-67.047,NA,NA
2035,"IRA Min",4181.715,-7.819,-0.272,-11.35
2035,"IRA Median",4801.504,-23.799,-5.403,-246.148
2035,"IRA Max",6608.693,-70.395,-2.004,-129.864
