"figure_num","model","scenario","variable","unit","label","year","value"
"F.2.4.ind_projections_direct_indirect","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Industry and Fuel Production","Mt CO2/yr","Industry",2005,850.8
"F.2.4.ind_projections_direct_indirect","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Industry and Fuel Production","Mt CO2/yr","Industry",2006,875.1
"F.2.4.ind_projections_direct_indirect","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Industry and Fuel Production","Mt CO2/yr","Industry",2007,866.4
"F.2.4.ind_projections_direct_indirect","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Industry and Fuel Production","Mt CO2/yr","Industry",2008,819
"F.2.4.ind_projections_direct_indirect","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Industry and Fuel Production","Mt CO2/yr","Industry",2009,742.5
"F.2.4.ind_projections_direct_indirect","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Industry and Fuel Production","Mt CO2/yr","Industry",2010,795.9
"F.2.4.ind_projections_direct_indirect","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Industry and Fuel Production","Mt CO2/yr","Industry",2011,796.7
"F.2.4.ind_projections_direct_indirect","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Industry and Fuel Production","Mt CO2/yr","Industry",2012,806.2
"F.2.4.ind_projections_direct_indirect","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Industry and Fuel Production","Mt CO2/yr","Industry",2013,834.2
"F.2.4.ind_projections_direct_indirect","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Industry and Fuel Production","Mt CO2/yr","Industry",2014,813.7
"F.2.4.ind_projections_direct_indirect","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Industry and Fuel Production","Mt CO2/yr","Industry",2015,798
"F.2.4.ind_projections_direct_indirect","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Industry and Fuel Production","Mt CO2/yr","Industry",2016,792.9
"F.2.4.ind_projections_direct_indirect","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Industry and Fuel Production","Mt CO2/yr","Industry",2017,789
"F.2.4.ind_projections_direct_indirect","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Industry and Fuel Production","Mt CO2/yr","Industry",2018,813.5
"F.2.4.ind_projections_direct_indirect","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Industry and Fuel Production","Mt CO2/yr","Industry",2019,815.9
"F.2.4.ind_projections_direct_indirect","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Industry and Fuel Production","Mt CO2/yr","Industry",2020,767.9
"F.2.4.ind_projections_direct_indirect","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Industry and Fuel Production","Mt CO2/yr","Industry",2021,775.6
"F.2.4.ind_projections_direct_indirect","EPS-EI","IRA","Emissions|CO2|Energy|Demand|Industry and Fuel Production","Mt CO2/yr","Industry",2021,775.6
"F.2.4.ind_projections_direct_indirect","EPS-EI","No IRA","Emissions|CO2|Energy|Demand|Industry and Fuel Production","Mt CO2/yr","Industry",2021,775.6
"F.2.4.ind_projections_direct_indirect","GCAM-CGS","IRA","Emissions|CO2|Energy|Demand|Industry and Fuel Production","Mt CO2/yr","Industry",2021,775.6
"F.2.4.ind_projections_direct_indirect","GCAM-CGS","No IRA","Emissions|CO2|Energy|Demand|Industry and Fuel Production","Mt CO2/yr","Industry",2021,775.6
