"sector","year","IRA Min","IRA Median","IRA Max","No IRA Min","No IRA Median","No IRA Max"
"Buildings",2030,49.1789455032217,54.6539235555245,63.170084596882,34.1066253385285,41.7697263683156,47.4119872677669
"Buildings",2035,52.0178848106904,65.7445264671939,70.3259907260579,36.3492454471254,44.865101403118,50.7981331716845
"Economy-Wide",2030,34.6482484695863,39.4634578802552,43.0271284928508,26.3617642892433,30.7012090181245,33.2434335414114
"Economy-Wide",2035,36.3248740444119,46.3873863738212,54.9426382359247,28.926892927927,33.275817786043,39.4995251014408
"Electricity",2030,48.6408899629182,68.5573187783842,82.77098767671,42.5194783550685,50.4472545102287,59.1850934525819
"Electricity",2035,67.3193541551636,77.3223384638485,86.5262370309475,40.4170659555852,52.800486887749,67.7096787633849
"Industry",2030,17.1667689638769,36.1173206808723,42.5860814730994,5.59723035391041,24.7933909617616,32.6172169168198
"Industry",2035,22.9874196826221,35.7844675313824,56.6446775475179,3.38796455103415,26.780105697321,35.701088133111
"Transportation",2030,11.068806311383,17.4114741007342,25.0292104529113,8.69286717114796,15.2894627167106,21.5276604937686
"Transportation",2035,14.5186995652874,26.6793887268333,35.3334421301392,13.3036305479526,22.8111858351004,28.1413402533926
