"figure_num","model","scenario","variable","unit","year","value"
"E.30.buildings_projections_indirect","EPA-GHGI","Historic","Buildings Indirect Emissions","Mt CO2/yr",2021,1090.7
"E.30.buildings_projections_indirect","EPS-EI","IRA","Buildings Indirect Emissions","Mt CO2/yr",2021,1090.7
"E.30.buildings_projections_indirect","EPS-EI","IRA","Buildings Indirect Emissions","Mt CO2/yr",2025,836.795749895031
"E.30.buildings_projections_indirect","EPS-EI","IRA","Buildings Indirect Emissions","Mt CO2/yr",2030,394.008219686818
"E.30.buildings_projections_indirect","EPS-EI","IRA","Buildings Indirect Emissions","Mt CO2/yr",2035,211.398579489139
"E.30.buildings_projections_indirect","EPS-EI","No IRA","Buildings Indirect Emissions","Mt CO2/yr",2021,1090.7
"E.30.buildings_projections_indirect","EPS-EI","No IRA","Buildings Indirect Emissions","Mt CO2/yr",2025,972.176529056011
"E.30.buildings_projections_indirect","EPS-EI","No IRA","Buildings Indirect Emissions","Mt CO2/yr",2030,838.937018187428
"E.30.buildings_projections_indirect","EPS-EI","No IRA","Buildings Indirect Emissions","Mt CO2/yr",2035,807.914798716169
"E.30.buildings_projections_indirect","GCAM-CGS","IRA","Buildings Indirect Emissions","Mt CO2/yr",2021,1090.7
"E.30.buildings_projections_indirect","GCAM-CGS","IRA","Buildings Indirect Emissions","Mt CO2/yr",2025,750.183210613742
"E.30.buildings_projections_indirect","GCAM-CGS","IRA","Buildings Indirect Emissions","Mt CO2/yr",2030,470.094832516353
"E.30.buildings_projections_indirect","GCAM-CGS","IRA","Buildings Indirect Emissions","Mt CO2/yr",2035,306.67990759026
"E.30.buildings_projections_indirect","GCAM-CGS","No IRA","Buildings Indirect Emissions","Mt CO2/yr",2021,1090.7
"E.30.buildings_projections_indirect","GCAM-CGS","No IRA","Buildings Indirect Emissions","Mt CO2/yr",2025,1017.52537642602
"E.30.buildings_projections_indirect","GCAM-CGS","No IRA","Buildings Indirect Emissions","Mt CO2/yr",2030,945.769046449184
"E.30.buildings_projections_indirect","GCAM-CGS","No IRA","Buildings Indirect Emissions","Mt CO2/yr",2035,924.920718941848
"E.30.buildings_projections_indirect","GCAM-PNNL","IRA","Buildings Indirect Emissions","Mt CO2/yr",2021,1090.7
"E.30.buildings_projections_indirect","GCAM-PNNL","IRA","Buildings Indirect Emissions","Mt CO2/yr",2025,866.457396254488
"E.30.buildings_projections_indirect","GCAM-PNNL","IRA","Buildings Indirect Emissions","Mt CO2/yr",2030,582.997007501143
"E.30.buildings_projections_indirect","GCAM-PNNL","IRA","Buildings Indirect Emissions","Mt CO2/yr",2035,521.289180940712
"E.30.buildings_projections_indirect","GCAM-PNNL","No IRA","Buildings Indirect Emissions","Mt CO2/yr",2021,1090.7
"E.30.buildings_projections_indirect","GCAM-PNNL","No IRA","Buildings Indirect Emissions","Mt CO2/yr",2025,962.1219
"E.30.buildings_projections_indirect","GCAM-PNNL","No IRA","Buildings Indirect Emissions","Mt CO2/yr",2030,895.0665
"E.30.buildings_projections_indirect","GCAM-PNNL","No IRA","Buildings Indirect Emissions","Mt CO2/yr",2035,815.8505
"E.30.buildings_projections_indirect","MARKAL-NETL","IRA","Buildings Indirect Emissions","Mt CO2/yr",2021,1090.7
"E.30.buildings_projections_indirect","MARKAL-NETL","IRA","Buildings Indirect Emissions","Mt CO2/yr",2025,1027.63664606733
"E.30.buildings_projections_indirect","MARKAL-NETL","IRA","Buildings Indirect Emissions","Mt CO2/yr",2030,881.732673452674
"E.30.buildings_projections_indirect","MARKAL-NETL","IRA","Buildings Indirect Emissions","Mt CO2/yr",2035,528.815057055452
"E.30.buildings_projections_indirect","MARKAL-NETL","No IRA","Buildings Indirect Emissions","Mt CO2/yr",2021,1090.7
"E.30.buildings_projections_indirect","MARKAL-NETL","No IRA","Buildings Indirect Emissions","Mt CO2/yr",2025,1021.07089897245
"E.30.buildings_projections_indirect","MARKAL-NETL","No IRA","Buildings Indirect Emissions","Mt CO2/yr",2030,1018.89444522943
"E.30.buildings_projections_indirect","MARKAL-NETL","No IRA","Buildings Indirect Emissions","Mt CO2/yr",2035,1061.06215473138
"E.30.buildings_projections_indirect","NEMS-EIA","IRA","Buildings Indirect Emissions","Mt CO2/yr",2021,1090.7
"E.30.buildings_projections_indirect","NEMS-EIA","IRA","Buildings Indirect Emissions","Mt CO2/yr",2025,934.753876
"E.30.buildings_projections_indirect","NEMS-EIA","IRA","Buildings Indirect Emissions","Mt CO2/yr",2030,553.054901
"E.30.buildings_projections_indirect","NEMS-EIA","IRA","Buildings Indirect Emissions","Mt CO2/yr",2035,508.636246
"E.30.buildings_projections_indirect","NEMS-EIA","No IRA","Buildings Indirect Emissions","Mt CO2/yr",2021,1090.7
"E.30.buildings_projections_indirect","NEMS-EIA","No IRA","Buildings Indirect Emissions","Mt CO2/yr",2025,957.376983
"E.30.buildings_projections_indirect","NEMS-EIA","No IRA","Buildings Indirect Emissions","Mt CO2/yr",2030,845.905151
"E.30.buildings_projections_indirect","NEMS-EIA","No IRA","Buildings Indirect Emissions","Mt CO2/yr",2035,782.459839
"E.30.buildings_projections_indirect","NEMS-OP","IRA","Buildings Indirect Emissions","Mt CO2/yr",2021,1090.7
"E.30.buildings_projections_indirect","NEMS-OP","IRA","Buildings Indirect Emissions","Mt CO2/yr",2025,831.389832
"E.30.buildings_projections_indirect","NEMS-OP","IRA","Buildings Indirect Emissions","Mt CO2/yr",2030,440.272782
"E.30.buildings_projections_indirect","NEMS-OP","IRA","Buildings Indirect Emissions","Mt CO2/yr",2035,264.106384
"E.30.buildings_projections_indirect","NEMS-OP","No IRA","Buildings Indirect Emissions","Mt CO2/yr",2021,1090.7
"E.30.buildings_projections_indirect","NEMS-OP","No IRA","Buildings Indirect Emissions","Mt CO2/yr",2025,883.837433
"E.30.buildings_projections_indirect","NEMS-OP","No IRA","Buildings Indirect Emissions","Mt CO2/yr",2030,727.183715
"E.30.buildings_projections_indirect","NEMS-OP","No IRA","Buildings Indirect Emissions","Mt CO2/yr",2035,651.387726
"E.30.buildings_projections_indirect","NEMS-RHG","IRA","Buildings Indirect Emissions","Mt CO2/yr",2021,1090.7
"E.30.buildings_projections_indirect","NEMS-RHG","IRA","Buildings Indirect Emissions","Mt CO2/yr",2025,875.91779864821
"E.30.buildings_projections_indirect","NEMS-RHG","IRA","Buildings Indirect Emissions","Mt CO2/yr",2030,344.611136291211
"E.30.buildings_projections_indirect","NEMS-RHG","IRA","Buildings Indirect Emissions","Mt CO2/yr",2035,405.56068690778
"E.30.buildings_projections_indirect","NEMS-RHG","No IRA","Buildings Indirect Emissions","Mt CO2/yr",2021,1090.7
