"figure_num","model","scenario","variable","unit","label","year","value"
"E.10.SolarGen","USREP-ReEDS","No IRA","Generation","TWh","Solar",2025,306.74310522399
"E.10.SolarGen","USREP-ReEDS","No IRA","Generation","TWh","Solar",2030,536.687729506016
"E.10.SolarGen","USREP-ReEDS","No IRA","Generation","TWh","Solar",2035,592.466470777815
"E.10.SolarGen","USREP-ReEDS","No IRA","Generation","TWh","Solar",2021,114.675748719738
"E.10.SolarGen","USREP-ReEDS","IRA","Generation","TWh","Solar",2025,570.264265951396
"E.10.SolarGen","USREP-ReEDS","IRA","Generation","TWh","Solar",2030,726.867004509714
"E.10.SolarGen","USREP-ReEDS","IRA","Generation","TWh","Solar",2035,824.563296380621
"E.10.SolarGen","USREP-ReEDS","IRA","Generation","TWh","Solar",2021,114.675748719738
"E.10.SolarGen","EPS-EI","No IRA","Generation","TWh","Solar",2025,332.868771797386
"E.10.SolarGen","EPS-EI","No IRA","Generation","TWh","Solar",2030,538.024316871082
"E.10.SolarGen","EPS-EI","No IRA","Generation","TWh","Solar",2035,737.702980874546
"E.10.SolarGen","EPS-EI","No IRA","Generation","TWh","Solar",2021,114.675748719738
"E.10.SolarGen","EPS-EI","IRA","Generation","TWh","Solar",2025,463.790648845646
"E.10.SolarGen","EPS-EI","IRA","Generation","TWh","Solar",2030,1072.57463117968
"E.10.SolarGen","EPS-EI","IRA","Generation","TWh","Solar",2035,1678.62160894742
"E.10.SolarGen","EPS-EI","IRA","Generation","TWh","Solar",2021,114.675748719738
"E.10.SolarGen","GCAM-CGS","No IRA","Generation","TWh","Solar",2025,365.393034756955
"E.10.SolarGen","GCAM-CGS","No IRA","Generation","TWh","Solar",2030,599.085996254011
"E.10.SolarGen","GCAM-CGS","No IRA","Generation","TWh","Solar",2035,724.76618794096
"E.10.SolarGen","GCAM-CGS","No IRA","Generation","TWh","Solar",2021,114.675748719738
"E.10.SolarGen","GCAM-CGS","IRA","Generation","TWh","Solar",2025,473.119492781312
"E.10.SolarGen","GCAM-CGS","IRA","Generation","TWh","Solar",2030,921.873884721133
"E.10.SolarGen","GCAM-CGS","IRA","Generation","TWh","Solar",2035,1210.43376055556
"E.10.SolarGen","GCAM-CGS","IRA","Generation","TWh","Solar",2021,114.675748719738
"E.10.SolarGen","GCAM-PNNL","No IRA","Generation","TWh","Solar",2025,474.247757326434
"E.10.SolarGen","GCAM-PNNL","No IRA","Generation","TWh","Solar",2030,677.926667798394
"E.10.SolarGen","GCAM-PNNL","No IRA","Generation","TWh","Solar",2035,894.722515659966
"E.10.SolarGen","GCAM-PNNL","No IRA","Generation","TWh","Solar",2021,114.675748719738
"E.10.SolarGen","GCAM-PNNL","IRA","Generation","TWh","Solar",2025,592.495686782282
"E.10.SolarGen","GCAM-PNNL","IRA","Generation","TWh","Solar",2030,822.326866305524
"E.10.SolarGen","GCAM-PNNL","IRA","Generation","TWh","Solar",2035,1035.92284198524
"E.10.SolarGen","GCAM-PNNL","IRA","Generation","TWh","Solar",2021,114.675748719738
"E.10.SolarGen","Haiku-RFF","No IRA","Generation","TWh","Solar",2025,306.278242065386
"E.10.SolarGen","Haiku-RFF","No IRA","Generation","TWh","Solar",2030,449.285619684274
"E.10.SolarGen","Haiku-RFF","No IRA","Generation","TWh","Solar",2035,627.754934072154
"E.10.SolarGen","Haiku-RFF","No IRA","Generation","TWh","Solar",2021,114.675748719738
"E.10.SolarGen","Haiku-RFF","IRA","Generation","TWh","Solar",2025,448.815563608195
"E.10.SolarGen","Haiku-RFF","IRA","Generation","TWh","Solar",2030,742.125040058066
"E.10.SolarGen","Haiku-RFF","IRA","Generation","TWh","Solar",2035,849.026387732516
"E.10.SolarGen","Haiku-RFF","IRA","Generation","TWh","Solar",2021,114.675748719738
"E.10.SolarGen","IPM-NRDC","No IRA","Generation","TWh","Solar",2025,303.404830558431
"E.10.SolarGen","IPM-NRDC","No IRA","Generation","TWh","Solar",2030,333.04865474992
"E.10.SolarGen","IPM-NRDC","No IRA","Generation","TWh","Solar",2035,574.085147153263
"E.10.SolarGen","IPM-NRDC","No IRA","Generation","TWh","Solar",2021,114.675748719738
"E.10.SolarGen","IPM-NRDC","IRA","Generation","TWh","Solar",2025,285.643389508264
"E.10.SolarGen","IPM-NRDC","IRA","Generation","TWh","Solar",2030,369.652237625537
"E.10.SolarGen","IPM-NRDC","IRA","Generation","TWh","Solar",2035,683.146027868344
"E.10.SolarGen","IPM-NRDC","IRA","Generation","TWh","Solar",2021,114.675748719738
"E.10.SolarGen","IPM-EPA","No IRA","Generation","TWh","Solar",2030,451.737643629103
"E.10.SolarGen","IPM-EPA","No IRA","Generation","TWh","Solar",2035,661.020160433535
"E.10.SolarGen","IPM-EPA","No IRA","Generation","TWh","Solar",2021,114.675748719738
"E.10.SolarGen","IPM-EPA","IRA","Generation","TWh","Solar",2030,488.949823454651
"E.10.SolarGen","IPM-EPA","IRA","Generation","TWh","Solar",2035,773.927300354997
