"model","scenario","variable_rename","year","value","figure_num"
"USREP-ReEDS","No IRA","Wind",2025,609.843390662454,"Ap.11.WindGen"
"USREP-ReEDS","No IRA","Wind",2030,664.575714934842,"Ap.11.WindGen"
"USREP-ReEDS","No IRA","Wind",2035,750.969866396943,"Ap.11.WindGen"
"USREP-ReEDS","No IRA","Wind",2021,379.759000526537,"Ap.11.WindGen"
"USREP-ReEDS","IRA","Wind",2025,782.578125027667,"Ap.11.WindGen"
"USREP-ReEDS","IRA","Wind",2030,1360.74992315691,"Ap.11.WindGen"
"USREP-ReEDS","IRA","Wind",2035,1635.37211727124,"Ap.11.WindGen"
"USREP-ReEDS","IRA","Wind",2021,379.759000526537,"Ap.11.WindGen"
"EPS-EI","No IRA","Wind",2025,512.292175641222,"Ap.11.WindGen"
"EPS-EI","No IRA","Wind",2030,733.772766218653,"Ap.11.WindGen"
"EPS-EI","No IRA","Wind",2035,890.615460399699,"Ap.11.WindGen"
"EPS-EI","No IRA","Wind",2021,379.759000526537,"Ap.11.WindGen"
"EPS-EI","IRA","Wind",2025,775.279464906023,"Ap.11.WindGen"
"EPS-EI","IRA","Wind",2030,1598.24089440431,"Ap.11.WindGen"
"EPS-EI","IRA","Wind",2035,2577.91292095212,"Ap.11.WindGen"
"EPS-EI","IRA","Wind",2021,379.759000526537,"Ap.11.WindGen"
"GCAM-CGS","No IRA","Wind",2025,451.248982852978,"Ap.11.WindGen"
"GCAM-CGS","No IRA","Wind",2030,576.451894365618,"Ap.11.WindGen"
"GCAM-CGS","No IRA","Wind",2035,617.926716245189,"Ap.11.WindGen"
"GCAM-CGS","No IRA","Wind",2021,379.759000526537,"Ap.11.WindGen"
"GCAM-CGS","IRA","Wind",2025,775.889579713014,"Ap.11.WindGen"
"GCAM-CGS","IRA","Wind",2030,1131.8693402138,"Ap.11.WindGen"
"GCAM-CGS","IRA","Wind",2035,1250.65118310357,"Ap.11.WindGen"
"GCAM-CGS","IRA","Wind",2021,379.759000526537,"Ap.11.WindGen"
"GCAM-PNNL","No IRA","Wind",2025,891.981186298692,"Ap.11.WindGen"
"GCAM-PNNL","No IRA","Wind",2030,1223.2167713383,"Ap.11.WindGen"
"GCAM-PNNL","No IRA","Wind",2035,1600.99190133322,"Ap.11.WindGen"
"GCAM-PNNL","No IRA","Wind",2021,379.759000526537,"Ap.11.WindGen"
"GCAM-PNNL","IRA","Wind",2025,1192.28760768333,"Ap.11.WindGen"
"GCAM-PNNL","IRA","Wind",2030,1641.69373222041,"Ap.11.WindGen"
"GCAM-PNNL","IRA","Wind",2035,2054.11010998508,"Ap.11.WindGen"
"GCAM-PNNL","IRA","Wind",2021,379.759000526537,"Ap.11.WindGen"
"Haiku-RFF","No IRA","Wind",2025,738.079169094556,"Ap.11.WindGen"
"Haiku-RFF","No IRA","Wind",2030,837.602018801995,"Ap.11.WindGen"
"Haiku-RFF","No IRA","Wind",2035,933.979430145556,"Ap.11.WindGen"
"Haiku-RFF","No IRA","Wind",2021,379.759000526537,"Ap.11.WindGen"
"Haiku-RFF","IRA","Wind",2025,872.973120723061,"Ap.11.WindGen"
"Haiku-RFF","IRA","Wind",2030,1153.69549959489,"Ap.11.WindGen"
"Haiku-RFF","IRA","Wind",2035,1308.69048084323,"Ap.11.WindGen"
"Haiku-RFF","IRA","Wind",2021,379.759000526537,"Ap.11.WindGen"
"IPM-NRDC","No IRA","Wind",2025,652.778306114059,"Ap.11.WindGen"
"IPM-NRDC","No IRA","Wind",2030,765.782980565405,"Ap.11.WindGen"
"IPM-NRDC","No IRA","Wind",2035,991.662746448642,"Ap.11.WindGen"
"IPM-NRDC","No IRA","Wind",2021,379.759000526537,"Ap.11.WindGen"
"IPM-NRDC","IRA","Wind",2025,523.424795008934,"Ap.11.WindGen"
"IPM-NRDC","IRA","Wind",2030,890.306777380489,"Ap.11.WindGen"
"IPM-NRDC","IRA","Wind",2035,1368.21106002817,"Ap.11.WindGen"
"IPM-NRDC","IRA","Wind",2021,379.759000526537,"Ap.11.WindGen"
"IPM-EPA","No IRA","Wind",2030,712.334956182388,"Ap.11.WindGen"
"IPM-EPA","No IRA","Wind",2035,919.441216396555,"Ap.11.WindGen"
"IPM-EPA","No IRA","Wind",2021,379.759000526537,"Ap.11.WindGen"
"IPM-EPA","IRA","Wind",2030,844.078821770161,"Ap.11.WindGen"
"IPM-EPA","IRA","Wind",2035,1500.26663634718,"Ap.11.WindGen"
"IPM-EPA","IRA","Wind",2021,379.759000526537,"Ap.11.WindGen"
"MARKAL-NETL","No IRA","Wind",2025,614.189932111199,"Ap.11.WindGen"
"MARKAL-NETL","No IRA","Wind",2030,650.083625739808,"Ap.11.WindGen"
"MARKAL-NETL","No IRA","Wind",2035,666.841608786804,"Ap.11.WindGen"
"MARKAL-NETL","No IRA","Wind",2021,379.759000526537,"Ap.11.WindGen"
"MARKAL-NETL","IRA","Wind",2025,602.145739482628,"Ap.11.WindGen"
"MARKAL-NETL","IRA","Wind",2030,602.145739482628,"Ap.11.WindGen"
"MARKAL-NETL","IRA","Wind",2035,602.145739482628,"Ap.11.WindGen"
"MARKAL-NETL","IRA","Wind",2021,379.759000526537,"Ap.11.WindGen"
"NEMS-RHG","No IRA","Wind",2025,667.920911183225,"Ap.11.WindGen"
"NEMS-RHG","No IRA","Wind",2030,779.578621550389,"Ap.11.WindGen"
"NEMS-RHG","No IRA","Wind",2035,818.230455286341,"Ap.11.WindGen"
"NEMS-RHG","No IRA","Wind",2021,379.759000526537,"Ap.11.WindGen"
"NEMS-RHG","IRA","Wind",2025,544.963806180963,"Ap.11.WindGen"
"NEMS-RHG","IRA","Wind",2030,1232.70434198358,"Ap.11.WindGen"
"NEMS-RHG","IRA","Wind",2035,1483.28187766903,"Ap.11.WindGen"
"NEMS-RHG","IRA","Wind",2021,379.759000526537,"Ap.11.WindGen"
"OP-NEMS","No IRA","Wind",2025,563.344884038219,"Ap.11.WindGen"
"OP-NEMS","No IRA","Wind",2030,675.430401115615,"Ap.11.WindGen"
"OP-NEMS","No IRA","Wind",2035,774.50252977707,"Ap.11.WindGen"
"OP-NEMS","No IRA","Wind",2022,422.294265934269,"Ap.11.WindGen"
"OP-NEMS","No IRA","Wind",2023,439.586096444391,"Ap.11.WindGen"
"OP-NEMS","No IRA","Wind",2024,466.097819745726,"Ap.11.WindGen"
"OP-NEMS","No IRA","Wind",2026,605.524143121026,"Ap.11.WindGen"
"OP-NEMS","No IRA","Wind",2027,618.680474432982,"Ap.11.WindGen"
"OP-NEMS","No IRA","Wind",2028,635.266906260746,"Ap.11.WindGen"
"OP-NEMS","No IRA","Wind",2029,644.538310933385,"Ap.11.WindGen"
"OP-NEMS","No IRA","Wind",2031,688.093823131033,"Ap.11.WindGen"
"OP-NEMS","No IRA","Wind",2032,696.762335895392,"Ap.11.WindGen"
"OP-NEMS","No IRA","Wind",2033,708.772390098608,"Ap.11.WindGen"
"OP-NEMS","No IRA","Wind",2034,737.175764322986,"Ap.11.WindGen"
"OP-NEMS","No IRA","Wind",2021,379.759000526537,"Ap.11.WindGen"
"OP-NEMS","IRA","Wind",2025,610.397939287169,"Ap.11.WindGen"
"OP-NEMS","IRA","Wind",2030,939.326526645153,"Ap.11.WindGen"
"OP-NEMS","IRA","Wind",2035,1210.59907799655,"Ap.11.WindGen"
"OP-NEMS","IRA","Wind",2022,418.64892909229,"Ap.11.WindGen"
"OP-NEMS","IRA","Wind",2023,439.427347891596,"Ap.11.WindGen"
"OP-NEMS","IRA","Wind",2024,510.910048653932,"Ap.11.WindGen"
"OP-NEMS","IRA","Wind",2026,671.067153862969,"Ap.11.WindGen"
"OP-NEMS","IRA","Wind",2027,740.778592088044,"Ap.11.WindGen"
"OP-NEMS","IRA","Wind",2028,792.222481990584,"Ap.11.WindGen"
"OP-NEMS","IRA","Wind",2029,867.38668280962,"Ap.11.WindGen"
