"figure_num","model","scenario","variable","unit","year","variable_rename","value"
2.5,"EPS-EI","IRA","Capacity Additions|Electricity|Gas|w/o CCS|Average 2021-2035","GW/yr",2035,"Gas",17.92885714
2.5,"EPS-EI","IRA","Capacity Additions|Electricity|Hydro|Average 2021-2035","GW/yr",2035,"Hydro",0.017785714
2.5,"EPS-EI","IRA","Capacity Additions|Electricity|Nuclear|Average 2021-2035","GW/yr",2035,"Nuclear",0.214285714
2.5,"EPS-EI","IRA","Capacity Additions|Electricity|Solar|Average 2021-2035","GW/yr",2035,"Solar",49.60078571
2.5,"EPS-EI","IRA","Capacity Additions|Electricity|Storage Capacity|Average 2021-2035","GW/yr",2035,"Storage",8.579571429
2.5,"EPS-EI","IRA","Capacity Additions|Electricity|Wind|Average 2021-2035","GW/yr",2035,"Wind",42.16642857
2.5,"EPS-EI","IRA","Capacity Retirements|Electricity|Coal|w/o CCS|Average 2021-2035","GW/yr",2035,"Coal",-14.76557143
2.5,"EPS-EI","IRA","Capacity Retirements|Electricity|Gas|w/o CCS|Average 2021-2035","GW/yr",2035,"Gas",-17.39042857
2.5,"EPS-EI","IRA","Capacity Retirements|Electricity|Nuclear|Average 2021-2035","GW/yr",2035,"Nuclear",-6.75
2.5,"GCAM-CGS","IRA","Capacity Additions|Electricity|Gas|w/ CCS|Average 2021-2035","GW/yr",2035,"Gas CCS",11.5693279
2.5,"GCAM-CGS","IRA","Capacity Additions|Electricity|Gas|w/o CCS|Average 2021-2035","GW/yr",2035,"Gas",1.406982556
2.5,"GCAM-CGS","IRA","Capacity Additions|Electricity|Solar|Average 2021-2035","GW/yr",2035,"Solar",44.33545565
2.5,"GCAM-CGS","IRA","Capacity Additions|Electricity|Storage Capacity|Average 2021-2035","GW/yr",2035,"Storage",1.203012824
2.5,"GCAM-CGS","IRA","Capacity Additions|Electricity|Wind|Average 2021-2035","GW/yr",2035,"Wind",24.74528554
2.5,"GCAM-CGS","IRA","Capacity Retirements|Electricity|Coal|w/o CCS|Average 2021-2035","GW/yr",2035,"Coal",-16.72321402
2.5,"GCAM-CGS","IRA","Capacity Retirements|Electricity|Gas|w/o CCS|Average 2021-2035","GW/yr",2035,"Gas",-10.66921896
2.5,"GCAM-PNNL","IRA","Capacity Additions|Electricity|Coal|w/ CCS|Average 2021-2035","GW/yr",2035,"Coal CCS",0.896315789473684
2.5,"GCAM-PNNL","IRA","Capacity Additions|Electricity|Coal|w/o CCS|Average 2021-2035","GW/yr",2035,"Coal",3.11684210526316
2.5,"GCAM-PNNL","IRA","Capacity Additions|Electricity|Gas|w/ CCS|Average 2021-2035","GW/yr",2035,"Gas CCS",2.11894736842105
2.5,"GCAM-PNNL","IRA","Capacity Additions|Electricity|Gas|w/o CCS|Average 2021-2035","GW/yr",2035,"Gas",13.4236842105263
2.5,"GCAM-PNNL","IRA","Capacity Additions|Electricity|Nuclear|Average 2021-2035","GW/yr",2035,"Nuclear",7.32263157894737
2.5,"GCAM-PNNL","IRA","Capacity Additions|Electricity|Solar|Average 2021-2035","GW/yr",2035,"Solar",13.5657894736842
2.5,"GCAM-PNNL","IRA","Capacity Additions|Electricity|Wind|Average 2021-2035","GW/yr",2035,"Wind",8.51368421052632
2.5,"Haiku-RFF","IRA","Capacity Additions|Electricity|Coal|w/ CCS|Average 2021-2035","GW/yr",2035,"Coal CCS",0.062470757
2.5,"Haiku-RFF","IRA","Capacity Additions|Electricity|Gas|w/o CCS|Average 2021-2035","GW/yr",2035,"Gas",1.574612948
2.5,"Haiku-RFF","IRA","Capacity Additions|Electricity|Solar|Average 2021-2035","GW/yr",2035,"Solar",29.35399292
2.5,"Haiku-RFF","IRA","Capacity Additions|Electricity|Storage Capacity|Average 2021-2035","GW/yr",2035,"Storage",1.689150298
2.5,"Haiku-RFF","IRA","Capacity Additions|Electricity|Wind|Average 2021-2035","GW/yr",2035,"Wind",20.45457287
2.5,"Haiku-RFF","IRA","Capacity Retirements|Electricity|Coal|w/o CCS|Average 2021-2035","GW/yr",2035,"Coal",-4.437942867
2.5,"Haiku-RFF","IRA","Capacity Retirements|Electricity|Gas|w/o CCS|Average 2021-2035","GW/yr",2035,"Gas",-4.48921833
2.5,"Haiku-RFF","IRA","Capacity Retirements|Electricity|Nuclear|Average 2021-2035","GW/yr",2035,"Nuclear",-2.009428571
