"model","scenario","variable_rename","year","value","figure_num"
"USREP-ReEDS","No IRA","Nuclear",2025,780.371260449448,"F.9.NuclearGen"
"USREP-ReEDS","No IRA","Nuclear",2030,762.479751183496,"F.9.NuclearGen"
"USREP-ReEDS","No IRA","Nuclear",2035,762.479751183496,"F.9.NuclearGen"
"USREP-ReEDS","No IRA","Nuclear",2021,778.134602907068,"F.9.NuclearGen"
"USREP-ReEDS","IRA","Nuclear",2025,779.056218449861,"F.9.NuclearGen"
"USREP-ReEDS","IRA","Nuclear",2030,746.510389067253,"F.9.NuclearGen"
"USREP-ReEDS","IRA","Nuclear",2035,721.65691431282,"F.9.NuclearGen"
"USREP-ReEDS","IRA","Nuclear",2021,778.134602907068,"F.9.NuclearGen"
"EPS-EI","No IRA","Nuclear",2025,782.040718086279,"F.9.NuclearGen"
"EPS-EI","No IRA","Nuclear",2030,693.005651471312,"F.9.NuclearGen"
"EPS-EI","No IRA","Nuclear",2035,636.346881809216,"F.9.NuclearGen"
"EPS-EI","No IRA","Nuclear",2021,778.134602907068,"F.9.NuclearGen"
"EPS-EI","IRA","Nuclear",2025,794.181454451749,"F.9.NuclearGen"
"EPS-EI","IRA","Nuclear",2030,802.275578688881,"F.9.NuclearGen"
"EPS-EI","IRA","Nuclear",2035,41.4335502757789,"F.9.NuclearGen"
"EPS-EI","IRA","Nuclear",2021,778.134602907068,"F.9.NuclearGen"
"GCAM-CGS","No IRA","Nuclear",2025,785.185620255133,"F.9.NuclearGen"
"GCAM-CGS","No IRA","Nuclear",2030,788.654600456673,"F.9.NuclearGen"
"GCAM-CGS","No IRA","Nuclear",2035,788.45432542562,"F.9.NuclearGen"
"GCAM-CGS","No IRA","Nuclear",2021,778.134602907068,"F.9.NuclearGen"
"GCAM-CGS","IRA","Nuclear",2025,744.791535361496,"F.9.NuclearGen"
"GCAM-CGS","IRA","Nuclear",2030,738.30773539638,"F.9.NuclearGen"
"GCAM-CGS","IRA","Nuclear",2035,760.078936809538,"F.9.NuclearGen"
"GCAM-CGS","IRA","Nuclear",2021,778.134602907068,"F.9.NuclearGen"
"GCAM-PNNL","No IRA","Nuclear",2025,782.27190195504,"F.9.NuclearGen"
"GCAM-PNNL","No IRA","Nuclear",2030,782.27190195504,"F.9.NuclearGen"
"GCAM-PNNL","No IRA","Nuclear",2035,782.27190195504,"F.9.NuclearGen"
"GCAM-PNNL","No IRA","Nuclear",2021,778.134602907068,"F.9.NuclearGen"
"GCAM-PNNL","IRA","Nuclear",2025,782.27190195504,"F.9.NuclearGen"
"GCAM-PNNL","IRA","Nuclear",2030,782.27190195504,"F.9.NuclearGen"
"GCAM-PNNL","IRA","Nuclear",2035,782.27190195504,"F.9.NuclearGen"
"GCAM-PNNL","IRA","Nuclear",2021,778.134602907068,"F.9.NuclearGen"
"Haiku-RFF","No IRA","Nuclear",2025,753.032840993345,"F.9.NuclearGen"
"Haiku-RFF","No IRA","Nuclear",2030,704.974279935546,"F.9.NuclearGen"
"Haiku-RFF","No IRA","Nuclear",2035,559.282944519366,"F.9.NuclearGen"
"Haiku-RFF","No IRA","Nuclear",2021,778.134602907068,"F.9.NuclearGen"
"Haiku-RFF","IRA","Nuclear",2025,753.032840993345,"F.9.NuclearGen"
"Haiku-RFF","IRA","Nuclear",2030,704.974279935546,"F.9.NuclearGen"
"Haiku-RFF","IRA","Nuclear",2035,559.282944519366,"F.9.NuclearGen"
"Haiku-RFF","IRA","Nuclear",2021,778.134602907068,"F.9.NuclearGen"
"IPM-NRDC","No IRA","Nuclear",2025,722.026068887179,"F.9.NuclearGen"
"IPM-NRDC","No IRA","Nuclear",2030,509.530714256627,"F.9.NuclearGen"
"IPM-NRDC","No IRA","Nuclear",2035,67.8444701699504,"F.9.NuclearGen"
"IPM-NRDC","No IRA","Nuclear",2021,778.134602907068,"F.9.NuclearGen"
"IPM-NRDC","IRA","Nuclear",2025,730.18589726774,"F.9.NuclearGen"
"IPM-NRDC","IRA","Nuclear",2030,677.93474279871,"F.9.NuclearGen"
"IPM-NRDC","IRA","Nuclear",2035,75.8052935119185,"F.9.NuclearGen"
"IPM-NRDC","IRA","Nuclear",2021,778.134602907068,"F.9.NuclearGen"
"IPM-EPA","No IRA","Nuclear",2030,628.468400538905,"F.9.NuclearGen"
"IPM-EPA","No IRA","Nuclear",2035,486.510577619975,"F.9.NuclearGen"
"IPM-EPA","No IRA","Nuclear",2021,778.134602907068,"F.9.NuclearGen"
"IPM-EPA","IRA","Nuclear",2030,733.713661041395,"F.9.NuclearGen"
"IPM-EPA","IRA","Nuclear",2035,660.332808106905,"F.9.NuclearGen"
"IPM-EPA","IRA","Nuclear",2021,778.134602907068,"F.9.NuclearGen"
"MARKAL-NETL","No IRA","Nuclear",2025,800.263818154002,"F.9.NuclearGen"
"MARKAL-NETL","No IRA","Nuclear",2030,797.499987070239,"F.9.NuclearGen"
"MARKAL-NETL","No IRA","Nuclear",2035,797.499987070239,"F.9.NuclearGen"
"MARKAL-NETL","No IRA","Nuclear",2021,778.134602907068,"F.9.NuclearGen"
"MARKAL-NETL","IRA","Nuclear",2025,800.263818154002,"F.9.NuclearGen"
"MARKAL-NETL","IRA","Nuclear",2030,797.499987070239,"F.9.NuclearGen"
"MARKAL-NETL","IRA","Nuclear",2035,797.499987070239,"F.9.NuclearGen"
"MARKAL-NETL","IRA","Nuclear",2021,778.134602907068,"F.9.NuclearGen"
"NEMS-RHG","No IRA","Nuclear",2025,781.758964204528,"F.9.NuclearGen"
"NEMS-RHG","No IRA","Nuclear",2030,679.107445269074,"F.9.NuclearGen"
"NEMS-RHG","No IRA","Nuclear",2035,624.696944786102,"F.9.NuclearGen"
"NEMS-RHG","No IRA","Nuclear",2021,778.134602907068,"F.9.NuclearGen"
"NEMS-RHG","IRA","Nuclear",2025,781.751945356942,"F.9.NuclearGen"
"NEMS-RHG","IRA","Nuclear",2030,754.847561582179,"F.9.NuclearGen"
"NEMS-RHG","IRA","Nuclear",2035,186.503396102715,"F.9.NuclearGen"
"NEMS-RHG","IRA","Nuclear",2021,778.134602907068,"F.9.NuclearGen"
"NEMS-OP","No IRA","Nuclear",2025,781.759025203204,"F.9.NuclearGen"
"NEMS-OP","No IRA","Nuclear",2030,664.811491703869,"F.9.NuclearGen"
"NEMS-OP","No IRA","Nuclear",2035,597.676108540089,"F.9.NuclearGen"
"NEMS-OP","No IRA","Nuclear",2022,783.598585257394,"F.9.NuclearGen"
"NEMS-OP","No IRA","Nuclear",2023,785.462862774847,"F.9.NuclearGen"
"NEMS-OP","No IRA","Nuclear",2024,788.955950922886,"F.9.NuclearGen"
"NEMS-OP","No IRA","Nuclear",2026,773.318351491349,"F.9.NuclearGen"
"NEMS-OP","No IRA","Nuclear",2027,759.386708015197,"F.9.NuclearGen"
"NEMS-OP","No IRA","Nuclear",2028,707.463275525863,"F.9.NuclearGen"
"NEMS-OP","No IRA","Nuclear",2029,688.154245818962,"F.9.NuclearGen"
"NEMS-OP","No IRA","Nuclear",2031,656.139500015054,"F.9.NuclearGen"
"NEMS-OP","No IRA","Nuclear",2032,642.627402428517,"F.9.NuclearGen"
"NEMS-OP","No IRA","Nuclear",2033,618.205691742828,"F.9.NuclearGen"
"NEMS-OP","No IRA","Nuclear",2034,601.315311515264,"F.9.NuclearGen"
"NEMS-OP","No IRA","Nuclear",2021,778.134602907068,"F.9.NuclearGen"
"NEMS-OP","IRA","Nuclear",2025,781.759025203204,"F.9.NuclearGen"
"NEMS-OP","IRA","Nuclear",2030,776.561140074612,"F.9.NuclearGen"
"NEMS-OP","IRA","Nuclear",2035,694.575615379747,"F.9.NuclearGen"
"NEMS-OP","IRA","Nuclear",2022,783.598585257394,"F.9.NuclearGen"
"NEMS-OP","IRA","Nuclear",2023,785.462862774847,"F.9.NuclearGen"
"NEMS-OP","IRA","Nuclear",2024,788.955950922886,"F.9.NuclearGen"
"NEMS-OP","IRA","Nuclear",2026,773.318351491349,"F.9.NuclearGen"
"NEMS-OP","IRA","Nuclear",2027,773.665450954129,"F.9.NuclearGen"
"NEMS-OP","IRA","Nuclear",2028,776.967015261084,"F.9.NuclearGen"
"NEMS-OP","IRA","Nuclear",2029,774.763327113889,"F.9.NuclearGen"
"NEMS-OP","IRA","Nuclear",2031,777.580160946704,"F.9.NuclearGen"
"NEMS-OP","IRA","Nuclear",2032,777.64180460812,"F.9.NuclearGen"
"NEMS-OP","IRA","Nuclear",2033,774.027259097512,"F.9.NuclearGen"
"NEMS-OP","IRA","Nuclear",2034,746.314787870264,"F.9.NuclearGen"
"NEMS-OP","IRA","Nuclear",2021,778.134602907068,"F.9.NuclearGen"
"REGEN-EPRI","No IRA","Nuclear",2025,777.507335213795,"F.9.NuclearGen"
"REGEN-EPRI","No IRA","Nuclear",2030,779.186196125657,"F.9.NuclearGen"
"REGEN-EPRI","No IRA","Nuclear",2035,782.685719357309,"F.9.NuclearGen"
"REGEN-EPRI","No IRA","Nuclear",2021,778.134602907068,"F.9.NuclearGen"
"REGEN-EPRI","IRA","Nuclear",2025,782.770525506435,"F.9.NuclearGen"
"REGEN-EPRI","IRA","Nuclear",2030,781.927961300903,"F.9.NuclearGen"
"REGEN-EPRI","IRA","Nuclear",2035,761.355542693841,"F.9.NuclearGen"
"REGEN-EPRI","IRA","Nuclear",2021,778.134602907068,"F.9.NuclearGen"
